Question,Answer
What is covered in 4 Semester Syllabus (Semester Semester)?,"Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 4 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester: IV
Subject: 4 Semester Syllabus (Semester Semester),
What is covered in 4 Semester Syllabus (Semester Semester)?,Subject: Computer Network Subject Code: B127471(022)
What is covered in 4 Semester Syllabus (Semester Semester)?,Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 4 Semester Syllabus (Semester Semester)?,No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 4 Semester Syllabus (Semester Semester)?,"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– I: INTRODUCTION:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Network applications, network hardware, network software, reference models: OSI, TCP/IP, Internet, Connection"
What is covered in 4 Semester Syllabus (Semester Semester)?,"oriented network - X.25, frame relay. THE PHYSICAL LAYER: Theoretical basis for communication, guided"
What is covered in 4 Semester Syllabus (Semester Semester)?,"transmission media, wireless transmission, the public switched telephone networks, mobile telephone system."
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– II: THE DATA LINK LAYER:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Design issues, error detection and correction, elementary data link protocols, sliding window protocols, example data"
What is covered in 4 Semester Syllabus (Semester Semester)?,"link protocols - HDLC, the data link layer in the internet. THE MEDIUM ACCESS SUBLAYER: Channel allocations"
What is covered in 4 Semester Syllabus (Semester Semester)?,"problem, multiple access protocols, Ethernet, Data Link Layer switching, Wireless LAN, Broadband Wireless,"
What is covered in 4 Semester Syllabus (Semester Semester)?,Bluetooth.
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– III: THE NETWORK LAYER:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Network layer design issues, routing algorithms, Congestion control algorithms, Internetworking, the network layer in"
What is covered in 4 Semester Syllabus (Semester Semester)?,"the internet (IPv4 and IPv6), Quality of Service."
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– IV: THE TRANSPORT LAYER:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Transport service, elements of transport protocol, Simple Transport Protocol, Internet transport layer protocols: UDP"
What is covered in 4 Semester Syllabus (Semester Semester)?,and TCP.
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT– V: THE APPLICATION LAYER:
What is covered in 4 Semester Syllabus (Semester Semester)?,"Domain name system, electronic mail, World Wide Web: architectural overview, dynamic web document and http."
What is covered in 4 Semester Syllabus (Semester Semester)?,"APPLICATION LAYER PROTOCOLS: Simple Network Management Protocol, File Transfer Protocol, Simple Mail"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Transfer Protocol, Telnet."
What is covered in 4 Semester Syllabus (Semester Semester)?,TEXT BOOKS:
What is covered in 4 Semester Syllabus (Semester Semester)?,"1. A. S. Tanenbaum (2003), Computer Networks, 4th edition, Pearson Education/ PHI, New Delhi, India."
What is covered in 4 Semester Syllabus (Semester Semester)?,REFERENCE BOOKS:
What is covered in 4 Semester Syllabus (Semester Semester)?,"1. Behrouz A. Forouzan (2006), Data communication and Networking, 4th Edition, McGraw-Hill, India."
What is covered in 4 Semester Syllabus (Semester Semester)?,"2. Kurose, Ross (2010), Computer Networking: A top down approach, Pearson Education, India."
What is covered in 4 Semester Syllabus (Semester Semester)?,"Page 1 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 4 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester: IV
What is covered in 4 Semester Syllabus (Semester Semester)?,Subject: Artificial Intelligence: Principles and Applications Subject Code: B127472(022)
What is covered in 4 Semester Syllabus (Semester Semester)?,Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 4 Semester Syllabus (Semester Semester)?,No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 4 Semester Syllabus (Semester Semester)?,"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Prerequisites: Basic concepts in design of algorithms, including hashing, sorting, searching, and complexity analysis of"
What is covered in 4 Semester Syllabus (Semester Semester)?,algorithms.
What is covered in 4 Semester Syllabus (Semester Semester)?,1. Fundamental Issues in Intelligent Systems
What is covered in 4 Semester Syllabus (Semester Semester)?,a. Describe Turing test and Chinese Room Thought Experiment
What is covered in 4 Semester Syllabus (Semester Semester)?,b. Definitions of AI; Difference between optimum reasoning/behavior and human-like
What is covered in 4 Semester Syllabus (Semester Semester)?,behavior/reasoning
What is covered in 4 Semester Syllabus (Semester Semester)?,2. Basic Search Strategies
What is covered in 4 Semester Syllabus (Semester Semester)?,a. Formulate efficient problem/search spaces for a number of problems
What is covered in 4 Semester Syllabus (Semester Semester)?,b. Combinatorial explosion of search spaces in most problems of interest
What is covered in 4 Semester Syllabus (Semester Semester)?,"c. Usefulness of heuristics, completeness, optimality, time/space complexity during search"
What is covered in 4 Semester Syllabus (Semester Semester)?,d. Uninformed search algorithms
What is covered in 4 Semester Syllabus (Semester Semester)?,"e. Informed Search Algorithms, admissibility, monotonicity, Design a solution using A* search"
What is covered in 4 Semester Syllabus (Semester Semester)?,"f. Constraint satisfaction problems, algorithms for their solution"
What is covered in 4 Semester Syllabus (Semester Semester)?,"g. Game playing and game tree search, minimax, alpha-beta search"
What is covered in 4 Semester Syllabus (Semester Semester)?,h. Intro to Game Theory
What is covered in 4 Semester Syllabus (Semester Semester)?,"i. Genetic Algorithms as search, hill climbing, simulated annealing, gradient descent as paradigms"
What is covered in 4 Semester Syllabus (Semester Semester)?,for search
What is covered in 4 Semester Syllabus (Semester Semester)?,3. Basic Knowledge Representation
What is covered in 4 Semester Syllabus (Semester Semester)?,a. Introduction to First Order Predicate Calculus (FOPC)
What is covered in 4 Semester Syllabus (Semester Semester)?,b. Representation of simple English sentences in FOPC
What is covered in 4 Semester Syllabus (Semester Semester)?,c. Convert FOPC formulas into clauses
What is covered in 4 Semester Syllabus (Semester Semester)?,"d. Inference rules for FOPC, Resolution, Resolution-refutation, answer-extraction"
What is covered in 4 Semester Syllabus (Semester Semester)?,4. Reasoning with uncertainty
What is covered in 4 Semester Syllabus (Semester Semester)?,a. Probabilistic reasoning
What is covered in 4 Semester Syllabus (Semester Semester)?,b. Bayes theorem
What is covered in 4 Semester Syllabus (Semester Semester)?,c. Bayesian Networks
What is covered in 4 Semester Syllabus (Semester Semester)?,d. Temporal Probability Models; Hidden Markov Models
What is covered in 4 Semester Syllabus (Semester Semester)?,e. Fuzzy sets and reasoning
What is covered in 4 Semester Syllabus (Semester Semester)?,5. Basic Machine Learning
What is covered in 4 Semester Syllabus (Semester Semester)?,"a. Differences between supervised, unsupervised, and reinforcement learning"
What is covered in 4 Semester Syllabus (Semester Semester)?,b. Classification tasks
What is covered in 4 Semester Syllabus (Semester Semester)?,"c. Naïve Bayes classifier, overfitting, performance of a classifier"
What is covered in 4 Semester Syllabus (Semester Semester)?,"d. Introduction to clustering, scalability issues in learning"
What is covered in 4 Semester Syllabus (Semester Semester)?,"e. Descriptive Data Summarization; Central tendency (Mean, median, mode), measures of dispersion"
What is covered in 4 Semester Syllabus (Semester Semester)?,"(variance, box-plots, quartiles, normal and skewed distributions)."
What is covered in 4 Semester Syllabus (Semester Semester)?,6. Reinforcement Learning
What is covered in 4 Semester Syllabus (Semester Semester)?,Page 2 of 137. Data Visualization
What is covered in 4 Semester Syllabus (Semester Semester)?,"a. Visualization of data dispersion, box-plot analysis, quantile-plot, quantile-quantile plots, scatter"
What is covered in 4 Semester Syllabus (Semester Semester)?,"plot, simple regression, Loess curve fitting, demo for these ideas using available standard"
What is covered in 4 Semester Syllabus (Semester Semester)?,toolboxes.
What is covered in 4 Semester Syllabus (Semester Semester)?,"b. Visual exploration and analysis of spatial, temporal, multidimensional relational data."
What is covered in 4 Semester Syllabus (Semester Semester)?,Text Book:
What is covered in 4 Semester Syllabus (Semester Semester)?,"(cid:120) Artificial Intelligence – A Modern Approach, 3rd edition. Author: Stuart Russell and Peter Norvig,"
What is covered in 4 Semester Syllabus (Semester Semester)?,Publisher: Prentice Hall.
What is covered in 4 Semester Syllabus (Semester Semester)?,"Page 3 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 4 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester: IV
What is covered in 4 Semester Syllabus (Semester Semester)?,Subject: Operating System Subject Code: B127473(022)
What is covered in 4 Semester Syllabus (Semester Semester)?,Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 4 Semester Syllabus (Semester Semester)?,No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 4 Semester Syllabus (Semester Semester)?,"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT – I: INTRODUCTION
What is covered in 4 Semester Syllabus (Semester Semester)?,"Operation System objective and function, The Evolution of operating Systems, time sharing and real time"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Systems, Protection. Operating System Structure, System Components, operating system service, System structure."
What is covered in 4 Semester Syllabus (Semester Semester)?,"Distributed Computing, The Key Architecture Trend; Parallel Computation."
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT – II: CONCURRENT PROCESSES
What is covered in 4 Semester Syllabus (Semester Semester)?,"Process concept: Introduction, Definitions of “Process”, Process States, Process State Transitions, The process"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Control Block, Operations on Processes, Interrupt Processing. Mutual Exclusion, the Producer / Consumer problem,"
What is covered in 4 Semester Syllabus (Semester Semester)?,"the critical section problem, Semaphores, Classical problems in concurrency, inter process communication."
What is covered in 4 Semester Syllabus (Semester Semester)?,"Asynchronous Concurrent Process: introduction, parallel Processing, A Control Structure for indicating parallelism."
What is covered in 4 Semester Syllabus (Semester Semester)?,"CPU scheduling: concepts, performance criteria, and scheduling Algorithms. Algorithm evaluation, Multiprocessor"
What is covered in 4 Semester Syllabus (Semester Semester)?,scheduling.
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT – III: DEADLOCKS
What is covered in 4 Semester Syllabus (Semester Semester)?,"System model, Deadlock characterization. Prevention, Avoidance and Detection, Recovery from deadlock, Combined"
What is covered in 4 Semester Syllabus (Semester Semester)?,approach.
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT – IV: MEMORY MANAGEMENT
What is covered in 4 Semester Syllabus (Semester Semester)?,"Base machine, resident Monitor, multiprogramming with fixed partition, Multiprogramming with variable"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Partitions, Paging, Segmentation, paged - segmentation, virtual Memory concepts, Demand paging, performance, page"
What is covered in 4 Semester Syllabus (Semester Semester)?,"Replacement algorithms, Allocation of frames, Thrashing, cache memory organization impact on performance."
What is covered in 4 Semester Syllabus (Semester Semester)?,UNIT – V: I/O MANAGEMENT &DISK SCHEDULING
What is covered in 4 Semester Syllabus (Semester Semester)?,"I/O device and the organization of the I/O function, I/O Buffering, Disk I/O, Operating system Design issues."
What is covered in 4 Semester Syllabus (Semester Semester)?,File system: File Concepts – File organization and Access mechanism.
What is covered in 4 Semester Syllabus (Semester Semester)?,Text Books/ Reference Books:
What is covered in 4 Semester Syllabus (Semester Semester)?,"1. Operating System concepts by Silberscatz A and Peterson, J.L, PE-LPE."
What is covered in 4 Semester Syllabus (Semester Semester)?,"2. Operating System Design & Implementation by Tanenbaum, A.S., PHI."
What is covered in 4 Semester Syllabus (Semester Semester)?,"3. Operating system concepts Galvin by Silberscatz, John Weiley & Sons."
What is covered in 4 Semester Syllabus (Semester Semester)?,"4. Operating systems by H.M. Deital, Pearson Education."
What is covered in 4 Semester Syllabus (Semester Semester)?,"5. Operating System in Depth Design and Programming by Thomas Doeppner, Wiley India."
What is covered in 4 Semester Syllabus (Semester Semester)?,"6. Operating System Concept & Design, Milenkovic M, McGraw Hill."
What is covered in 4 Semester Syllabus (Semester Semester)?,"7. Operation System, Stalling William, Maxwell MCMillan International Editions."
What is covered in 4 Semester Syllabus (Semester Semester)?,"Page 4 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 4 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester: IV
What is covered in 4 Semester Syllabus (Semester Semester)?,Subject: Theory of Computation Subject Code: B127474(022)
What is covered in 4 Semester Syllabus (Semester Semester)?,Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 4 Semester Syllabus (Semester Semester)?,No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
