Question,Answer
What is covered in 2 Semester Syllabus (Semester Semester)?,"Chhattisgarh Swami Vivekananda Technical University, Bhilai"
What is covered in 2 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Artificial Intelligence and Data Science) Semester: II
Subject: 2 Semester Syllabus (Semester Semester),
What is covered in 2 Semester Syllabus (Semester Semester)?,Subject: Engineering Mathematics-II Subject Code: A000271(014)
What is covered in 2 Semester Syllabus (Semester Semester)?,Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 2 Semester Syllabus (Semester Semester)?,No. of Class tests to: 2(Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 2 Semester Syllabus (Semester Semester)?,ESE Duration: Three Hours Maximum Marks in ESE:100 Minimum Marks in ESE:35
What is covered in 2 Semester Syllabus (Semester Semester)?,UNIT – I LINEAR ALGEBRA 8 Hours
What is covered in 2 Semester Syllabus (Semester Semester)?,"Systems of linear equations and their solutions using Gauss-elimination; vector space, subspace,"
What is covered in 2 Semester Syllabus (Semester Semester)?,"spanning sets, linearly independence and dependence, basis and dimension, Rank of matrix; inner"
What is covered in 2 Semester Syllabus (Semester Semester)?,"product, Gram - Schmidt process."
What is covered in 2 Semester Syllabus (Semester Semester)?,"Linear Transformation, Kernel and images of a linear map, Rank-Nullity Theorem (statement and"
What is covered in 2 Semester Syllabus (Semester Semester)?,"illustration); eigenvalues and eigenvectors, diagonalization of matrices, Jordan canonical form, quadratic"
What is covered in 2 Semester Syllabus (Semester Semester)?,forms: positive definiteness
What is covered in 2 Semester Syllabus (Semester Semester)?,UNIT-II MULTIPLE INTEGRALS 4 Hours
What is covered in 2 Semester Syllabus (Semester Semester)?,Double integration – Cartesian and polar co-ordinates – Change of order of integration. Area as a
What is covered in 2 Semester Syllabus (Semester Semester)?,double integral – Triple integration in Cartesian coordinates – Volume as a triple integral – Change of
What is covered in 2 Semester Syllabus (Semester Semester)?,variables between Cartesian and polar coordinates.
What is covered in 2 Semester Syllabus (Semester Semester)?,UNIT – IIIORDINARY DIFFERENTIAL EQUATIONS 08 Hours
What is covered in 2 Semester Syllabus (Semester Semester)?,"Review of first order differential equations, linear differential equations, homogeneous higher order"
What is covered in 2 Semester Syllabus (Semester Semester)?,"linear differential equations, non- homogeneous higher order linear differential equations with constant"
What is covered in 2 Semester Syllabus (Semester Semester)?,coefficients and reducible to differential equations with constant coefficients (method of undetermined
What is covered in 2 Semester Syllabus (Semester Semester)?,"coefficients and method of variation of parameters), systems of differential equations, applications to"
What is covered in 2 Semester Syllabus (Semester Semester)?,electrical circuits.
What is covered in 2 Semester Syllabus (Semester Semester)?,UNIT – IVPARTIAL DIFFERENTIAL EQUATIONS 5 Hours
What is covered in 2 Semester Syllabus (Semester Semester)?,"Introduction to the partial differential equations, classification of second order PDE, method of"
What is covered in 2 Semester Syllabus (Semester Semester)?,"separation of variable, solution of one dimensional heat equation and wave equation."
What is covered in 2 Semester Syllabus (Semester Semester)?,UNIT V LAPLACE TRANSFORMS 7 Hours
What is covered in 2 Semester Syllabus (Semester Semester)?,"Laplace transforms its properties, Unit step function, Dirac delta functions, Convolution theorem, Inverse"
What is covered in 2 Semester Syllabus (Semester Semester)?,"Laplace transform and its properties, solving differential equations using Laplace transform."
What is covered in 2 Semester Syllabus (Semester Semester)?,Text Books
What is covered in 2 Semester Syllabus (Semester Semester)?,"1. Introduction to Linear Algebra (2nd edition) by Serge Lang,Springer."
What is covered in 2 Semester Syllabus (Semester Semester)?,"2. Advanced Engineering Mathematics (10th edition) by Erwin Kreyszig, Wiley easternLtd."
What is covered in 2 Semester Syllabus (Semester Semester)?,Reference Books
What is covered in 2 Semester Syllabus (Semester Semester)?,"1. Schaum’s outlines of Linear Algebra (5th edition) by Seymour Lipschutz, Marc Lipson,"
What is covered in 2 Semester Syllabus (Semester Semester)?,"McGraw-Hill Education (India) Private Limited, New Delhi."
What is covered in 2 Semester Syllabus (Semester Semester)?,"2. Linear Algebra by Hoffmanand Kunze,(2nd edition) Prentice Hall Publication ,New Delhi."
What is covered in 2 Semester Syllabus (Semester Semester)?,"3. Differential Equations with Applications and Historical notes by George Simmons, Tata Mc-"
What is covered in 2 Semester Syllabus (Semester Semester)?,"Graw Hill publishing company Ltd, NewDelhi."
What is covered in 2 Semester Syllabus (Semester Semester)?,"4. Advanced Engineering Mathematics by C.R.Wylie, McGraw Hill Publications, NewDelhi."
What is covered in 2 Semester Syllabus (Semester Semester)?,"5. Advanced Engineering Mathematics (7thedition) by Peter V.O’Neil, Thomson. Brooks/Cole,"
What is covered in 2 Semester Syllabus (Semester Semester)?,"Singapore.Chhattisgarh Swami Vivekananda Technical University, Bhilai"
What is covered in 2 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Artificial Intelligence and Data Science) Semester: II
What is covered in 2 Semester Syllabus (Semester Semester)?,Subject: Data Structure Using C Subject Code: A000272(022)
What is covered in 2 Semester Syllabus (Semester Semester)?,Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 2 Semester Syllabus (Semester Semester)?,No. of Class tests to: 2(Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 2 Semester Syllabus (Semester Semester)?,ESE Duration: Three Hours Maximum Marks in ESE:100 Minimum Marks in ESE:35
What is covered in 2 Semester Syllabus (Semester Semester)?,Prerequisites:
What is covered in 2 Semester Syllabus (Semester Semester)?,1. C Programming
What is covered in 2 Semester Syllabus (Semester Semester)?,2. Foundations of Computer Science
What is covered in 2 Semester Syllabus (Semester Semester)?,Course Objectives :
What is covered in 2 Semester Syllabus (Semester Semester)?,"1. To teach how to design a new user defined, efficient, data types array, stack, queue, list, tree,"
What is covered in 2 Semester Syllabus (Semester Semester)?,"graph,"
What is covered in 2 Semester Syllabus (Semester Semester)?,etc. abstract data types and reusable code using object based design techniques.
What is covered in 2 Semester Syllabus (Semester Semester)?,"2. To demonstrate good programming practices, coding standards, modular programming,"
What is covered in 2 Semester Syllabus (Semester Semester)?,procedural and object-based way of thinking.
What is covered in 2 Semester Syllabus (Semester Semester)?,3. To emphasize the design aspects of a new data structure for solving any real life problems.
What is covered in 2 Semester Syllabus (Semester Semester)?,4. To lay strong emphasis on time complexity analysis techniques and algorithm design
What is covered in 2 Semester Syllabus (Semester Semester)?,techniques.
What is covered in 2 Semester Syllabus (Semester Semester)?,Course Outcomes :
What is covered in 2 Semester Syllabus (Semester Semester)?,Student will be able to
What is covered in 2 Semester Syllabus (Semester Semester)?,"1. Analyze data objects, data structures and related concepts."
What is covered in 2 Semester Syllabus (Semester Semester)?,2. Implement problems using different data structures.
What is covered in 2 Semester Syllabus (Semester Semester)?,3. Design and implement a database schema for a given problem-domain.
What is covered in 2 Semester Syllabus (Semester Semester)?,4. Understand and implement trees and graphs.
What is covered in 2 Semester Syllabus (Semester Semester)?,"5. Do Programming in PL/SQL including stored procedures, stored functions, cursors and"
What is covered in 2 Semester Syllabus (Semester Semester)?,packages.
What is covered in 2 Semester Syllabus (Semester Semester)?,6. To appreciate the impact of analytics and big data on the information industry and the
What is covered in 2 Semester Syllabus (Semester Semester)?,external ecosystem for analytical and data services.
What is covered in 2 Semester Syllabus (Semester Semester)?,UNIT – I FUNDAMENTAL CONCEPTS 04 Hours
What is covered in 2 Semester Syllabus (Semester Semester)?,"Introduction to Data Structures: Data, Data Objects, Data Types ,Abstract Data Type (ADT) and data structures,"
What is covered in 2 Semester Syllabus (Semester Semester)?,"Concepts of static and dynamic, linear and nonlinear data structures. Introduction to Algorithms: Definition and"
What is covered in 2 Semester Syllabus (Semester Semester)?,"Characteristics of an algorithm. Algorithm design tools – flowcharts and pseudo code, notations – algorithm"
What is covered in 2 Semester Syllabus (Semester Semester)?,"header, purpose, conditions and selection, loops, procedures and sub-algorithms."
What is covered in 2 Semester Syllabus (Semester Semester)?,"Program development: Analysis, Design, Coding, Testing and Verification."
What is covered in 2 Semester Syllabus (Semester Semester)?,"UNIT – II LINEAR DATA STRUCTURES USING SEQUENTIAL ORGANIZATION, SEARCHING"
What is covered in 2 Semester Syllabus (Semester Semester)?,AND SORTING 07 Hours
What is covered in 2 Semester Syllabus (Semester Semester)?,"Concept of sequential organization, arrays as ADT, Storage representation of array, Matrix operations using"
What is covered in 2 Semester Syllabus (Semester Semester)?,"arrays, String operations (Length, Concatenation, Copy, Palindrome, Reverse, Compare, Substring) without"
What is covered in 2 Semester Syllabus (Semester Semester)?,"using library functions, Searching: linear and binary search algorithms. Sorting: General concepts–Bubble"
What is covered in 2 Semester Syllabus (Semester Semester)?,"sort, Insertion sort, Selection sort, Heap sort, Merge sort, Quick sort.UNIT – III LISTS 08 Hours"
What is covered in 2 Semester Syllabus (Semester Semester)?,"List as ADT, Concept of linked organization of data against linked list. Singly linked list, doubly linked"
What is covered in 2 Semester Syllabus (Semester Semester)?,"list, circular linked list. Representation & manipulations of polynomials/sets using linked lists. Dynamic"
What is covered in 2 Semester Syllabus (Semester Semester)?,memory management. Representation of sparse matrix. Addition and transpose of sparse matrix.
What is covered in 2 Semester Syllabus (Semester Semester)?,UNIT – IV STACKS AND QUEUES 08 Hours
What is covered in 2 Semester Syllabus (Semester Semester)?,Stack and queue as ADT. Operations on stack and queue. Implementations using arrays and dynamic memory
What is covered in 2 Semester Syllabus (Semester Semester)?,"allocation. Application of stack for expression evaluation, expression conversion. Recursion and stacks"
What is covered in 2 Semester Syllabus (Semester Semester)?,UNIT – V TREES AND GRAPHS 08 Hours
What is covered in 2 Semester Syllabus (Semester Semester)?,Basic terminology. Binary trees and its representation. Binary tree traversals (recursive and non-recursive) and
What is covered in 2 Semester Syllabus (Semester Semester)?,various operations. Insertion and deletion of nodes in binary search tree. Representation of graphs using
What is covered in 2 Semester Syllabus (Semester Semester)?,"adjacency matrix, adjacency list. Implementation of algorithms for traversals; implementing Kruskal's, Prim's"
What is covered in 2 Semester Syllabus (Semester Semester)?,algorithms. Single source shortest paths using Dijkstra’s algorithm. Applications of graphs and trees.
What is covered in 2 Semester Syllabus (Semester Semester)?,UNIT – VI ALGORITHM ANALYSIS AND ALGORITHM DESIGN STRATEGIES 08 Hours
What is covered in 2 Semester Syllabus (Semester Semester)?,"Algorithm Analysis: Time Complexity–Bigoh‘O’,Omega‘Ω’, Theta‘θ’,Best, Average and Worst case"
