Question,Answer
What is covered in 7 Semester Syllabus (Semester Semester)?,"Chhattisgarh Swami Vivekananda Technical University, Bhilai"
What is covered in 7 Semester Syllabus (Semester Semester)?,(C.G.)
What is covered in 7 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester - VII
Subject: 7 Semester Syllabus (Semester Semester),
What is covered in 7 Semester Syllabus (Semester Semester)?,Subject: Big Data Analytics Subject Code: ……………
What is covered in 7 Semester Syllabus (Semester Semester)?,Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 7 Semester Syllabus (Semester Semester)?,No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 7 Semester Syllabus (Semester Semester)?,"ESE Duration: Three Hours, Maximum Marks in ESE: 100"
What is covered in 7 Semester Syllabus (Semester Semester)?,Minimum Marks in ESE: 35
What is covered in 7 Semester Syllabus (Semester Semester)?,Course Objectives
What is covered in 7 Semester Syllabus (Semester Semester)?,"1. Develop a comprehensive understanding of big data technologies, tools, and techniques"
What is covered in 7 Semester Syllabus (Semester Semester)?,for processing and analyzing large-scale datasets.
What is covered in 7 Semester Syllabus (Semester Semester)?,2. Acquire knowledge and skills in utilizing advanced analytics methods tailored for big
What is covered in 7 Semester Syllabus (Semester Semester)?,data to extract meaningful insights.
What is covered in 7 Semester Syllabus (Semester Semester)?,3. Learn to apply big data analytics techniques to address real-world challenges and
What is covered in 7 Semester Syllabus (Semester Semester)?,opportunities across diverse domains.
What is covered in 7 Semester Syllabus (Semester Semester)?,"4. Gain proficiency in utilizing big data platforms and tools such as Hadoop, Spark, and"
What is covered in 7 Semester Syllabus (Semester Semester)?,NoSQL databases for efficient data processing and analysis.
What is covered in 7 Semester Syllabus (Semester Semester)?,5. Equip students with the capability to leverage big data analytics to make informed
What is covered in 7 Semester Syllabus (Semester Semester)?,decisions and drive innovation in various professional settings.
What is covered in 7 Semester Syllabus (Semester Semester)?,Course Outcomes
What is covered in 7 Semester Syllabus (Semester Semester)?,"Upon successful completion of the course, students should be able to:"
What is covered in 7 Semester Syllabus (Semester Semester)?,"1. Understand the concepts, characteristics, and challenges of big data, including volume,"
What is covered in 7 Semester Syllabus (Semester Semester)?,"velocity, variety, and veracity."
What is covered in 7 Semester Syllabus (Semester Semester)?,"2. Apply big data processing frameworks, such as Hadoop and Spark, to manage and analyze"
What is covered in 7 Semester Syllabus (Semester Semester)?,large-scale datasets efficiently.
What is covered in 7 Semester Syllabus (Semester Semester)?,"3. Design and implement data pre-processing techniques for cleaning, transforming, and"
What is covered in 7 Semester Syllabus (Semester Semester)?,preparing big data for analysis.
What is covered in 7 Semester Syllabus (Semester Semester)?,"4. Apply advanced analytics methods, including machine learning, data mining, and"
What is covered in 7 Semester Syllabus (Semester Semester)?,"predictive modelling, to extract insights and patterns from big data."
What is covered in 7 Semester Syllabus (Semester Semester)?,5. Develop and deploy scalable big data analytics solutions using cloud-based platforms and
What is covered in 7 Semester Syllabus (Semester Semester)?,distributed computing environments.
What is covered in 7 Semester Syllabus (Semester Semester)?,"6. Evaluate the performance, scalability, and reliability of big data analytics systems in real-"
What is covered in 7 Semester Syllabus (Semester Semester)?,world scenarios.
What is covered in Unit 1: INTRODUCTION TO BIG DATA ANALYTICS?,"Overview of big data: characteristics, sources, and challenges, Introduction to big data
analytics tools and technologies, Big data storage and processing frameworks: Hadoop,
Spark, and Flink, Ethical and legal considerations in big data analytics."
What is covered in Unit 2: DATA PREPROCESSING AND CLEANING?,"Techniques for data cleaning, transformation, and integration, Handling missing data and
outliers in big data, Data reduction and feature selection methods, Scalable data pre-
processing work flows using Apache Pig and Apache Hive.Unit 3: BIG DATA PROCESSING AND ANALYTICS
Map Reduce programming model for distributed data processing, Introduction to Apache
Spark: RDDs, Data Frames, and Spark SQL, Machine learning algorithms for big data
analytics: classification, regression, clustering, Real-time analytics and stream
processing with Apache Flink."
What is covered in Unit 4: ADVANCED ANALYTICS ON BIG DATA?,"Deep learning for big data analytics: neural networks, convolutional neural networks
(CNNs), recurrent neural networks (RNNs). Text analytics and natural language
processing (NLP) on big data, Graph analytics for social network analysis and
recommendation systems, Ensemble learning methods and model evaluation techniques."
What is covered in Unit 5: SCALABLE BIG DATA ANALYTICS PLATFORMS?,"Cloud-based big data analytics platforms: Amazon Web Services (AWS), Microsoft
Azure, Google Cloud Platform (GCP), Containerization and orchestration tools: Docker,
Kubernetes, Big data deployment and scaling strategies, Case studies and applications of
big data analytics in various domains
Textbooks
1. T itle: ""Big Data Analytics: Methods and Applications"", Authors: J. Bauckhage, R.
Srikant, V. Garg, Publisher: CRC Press, Year: 2016
2. Title: ""Big Data Analytics: Turning Big Data into Big Money"", Authors: Frank Ohlhorst,
- Publisher: John Wiley & Sons, Year: 2012
Reference Books
1. Title: ""Hadoop: The Definitive Guide"", Authors: Tom White, Publisher: O'Reilly Media,
Year: 2015
2. Title: ""Spark: The Definitive Guide"", Authors: Bill Chambers, Matei Zaharia, Publisher:
O'Reilly Media, Year: 2018
3. Title: ""Big Data Analytics with R and Hadoop"", Authors: Vignesh Prajapati, Anil Kumar
K M - Publisher: Packt Publishing, Year: 2013Chhattisgarh Swami Vivekananda Technical University, Bhilai
(C.G.)
Branch: B Tech Honours (Data Science) Semester - VII
Subject: Data Wrangling Subject Code: ……………
Total Theory Periods: 40 Total Tutorial Periods: 10
No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
ESE Duration: Three Hours, Maximum Marks in ESE: 100
Minimum Marks in ESE: 35
Course Objective
1. Equip students with essential skills and techniques for acquiring, cleaning, transforming,
and preparing raw data for analysis.
2. Provide students with knowledge and tools to handle diverse data formats efficiently.
3. Enable students to address missing or inconsistent data effectively during the data
wrangling process.
4. Teach students how to create structured datasets suitable for analysis and modeling in
data science projects.
5. Empower students with the ability to apply data wrangling techniques to real-world
datasets, enhancing their proficiency in data preparation for downstream analysis.
Course Outcomes
Upon successful completion of the course, students should be able to:
1. Understand the importance of data wrangling in the data science workflow and its role in
ensuring data quality.
2. Acquire data from various sources, including databases, web APIs, and file formats such
as CSV, JSON, and XML.
3. Clean and pre-process raw data to address issues such as missing values, outliers, and
inconsistencies.
4. Transform and reshape data using techniques such as filtering, aggregation, and
normalization.
5. Merge, join, and concatenate datasets to create unified datasets suitable for analysis.
6. Document data wrangling processes and workflows to ensure reproducibility and
transparency in data science projects."
What is covered in Unit 1: INTRODUCTION TO DATA WRANGLING?,"Overview of data wrangling: importance, challenges, and best practices, Data acquisition
techniques: accessing databases, web scraping, and file I/O, Exploratory data analysis
(EDA) for understanding data quality issues, Data cleaning techniques: handling missing
values, outliers, and duplicates."
What is covered in Unit 2: DATA TRANSFORMATION AND RESHAPING?,"Techniques for data transformation: normalization, scaling, and encoding, Reshaping data
using pivot tables, stack, and unstack operations, Extracting features from text and
categorical data, Data aggregation and summarization techniques.Unit 3: MERGING AND JOINING DATASETS
Combining datasets using concatenation, merging, and joining operations, Handling
different types of joins: inner, outer, left, and right joins, Dealing with duplicate and
mismatched keys during data merging, Advanced merging techniques: fuzzy matching
and approximate string matching."
What is covered in Unit 4: HANDLING TIME SERIES AND SPATIAL DATA?,"Preprocessing time series data: resampling, interpolation, and rolling windows, Spatial
data wrangling techniques: geocoding, spatial joins, and spatial queries, Handling special
data types: images, audio, and video data, Integrating external datasets with geographic
information systems (GIS)."
What is covered in Unit 5: DOCUMENTING AND REPRODUCING DATA WRANGLING WORKFLOWS?,"Documenting data wrangling processes: code comments, markdown files, and Jupyter
notebooks,Version control and collaboration using Git and GitHub, Automation and
reproducibility using scripting and workflow management tools, Best practices for
organizing and managing data wrangling projects.
Textbooks
1. Title: ""Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"",
Author: Wes McKinney, Publisher: O'Reilly Media, Year: 2017
2. Title: ""R for Data Science: Import, Tidy, Transform, Visualize, and Model Data"",
Authors: Hadley Wickham, Garrett Grolemund, Publisher: O'Reilly Media, Year: 2017
Reference Books
1. Title: ""Data Wrangling with Python: Tips and Tools to Make Your Life Easier"", Author:
Jacqueline Kazil, Katharine Jarmul, Publisher: O'Reilly Media, Year: 2016
2. Title: ""Data Wrangling with R"", Author: Bradley Boehmke, Jaynal Abedin, Publisher:
Springer, Year: 2016
3. Title: ""The Art of Data Science: A Guide for Anyone Who Works with Data"", Authors:
Roger D. Peng, Elizabeth Matsui, Jeff Leek, Publisher: Leanpub, Year: 2015Chhattisgarh Swami Vivekananda Technical University, Bhilai
(C.G.)
Branch: B Tech Honours (Data Science) Semester - VII
Subject: Software Engineering Subject Code: ……………
Total Theory Periods: 40 Total Tutorial Periods: 10
No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
ESE Duration: Three Hours, Maximum Marks in ESE: 100
Minimum Marks in ESE: 35
Course Objectives
1. Develop a comprehensive understanding of software development principles,
methodologies, and practices.
2. Acquire knowledge and skills essential for designing, developing, and maintaining high-
quality software systems.
3. Emphasize the application of software engineering best practices within the realm of
artificial intelligence (AI) applications.
4. Gain proficiency in implementing software engineering techniques tailored for AI-centric
projects.
5. Prepare students to effectively design, develop, and manage software solutions by
integrating software engineering principles with AI technologies.
Course Outcomes
Upon successful completion of the course, students should be able to:
1. Understand the fundamental concepts and principles of software engineering, including
requirements engineering, software design, and testing.
2. Apply software development methodologies, such as agile, iterative, and incremental
approaches, to plan and manage software projects effectively.
3. Design and implement software systems using appropriate programming languages,
frameworks, and tools, with a focus on AI applications.
4. Apply software engineering best practices for ensuring software quality, reliability, and
maintainability in AI systems.
5. Collaborate effectively in software development teams, practicing communication,
teamwork, and project management skills.
6. Demonstrate ethical and professional responsibility in software development, adhering to
legal and ethical standards and considering societal impacts."
What is covered in Unit 1: INTRODUCTION TO SOFTWARE ENGINEERING?,"Overview of software engineering: concepts, principles, and software development life
cycle, Software processes and methodologies: waterfall, agile, scrum, and kanban,
Requirements engineering: elicitation, analysis, specification, and validation, Ethical and
professional considerations in software engineering."
What is covered in Unit 2: SOFTWARE DESIGN AND ARCHITECTURE?,"Principles of software design: abstraction, modularity, cohesion, and coupling,
Architectural styles and patterns: client-server, layered architecture, and microservices,
Design principles for AI systems: modifiability, scalability, and adaptability, Softwaremodeling techniques: UML diagrams, entity-relationship diagrams, and data flow
diagrams."
What is covered in Unit 3: IMPLEMENTATION AND TESTING?,"Programming paradigms and languages for software development, Coding standards,
conventions, and best practices, Unit testing, integration testing, and system testing
techniques, Test-driven development (TDD) and behavior-driven development (BDD)
practices."
What is covered in Unit 4: SOFTWARE MAINTENANCE AND EVOLUTION?,"Software maintenance activities: corrective, adaptive, and perfective maintenance,
Version control systems and configuration management, Software refactoring and code
quality improvement techniques, Legacy system modernization and migration strategies."
