Question,Answer
What is covered in 3 Semester Syllabus (Semester Semester)?,"Chhattisgarh Swami Vivekananda Technical University, Bhilai"
What is covered in 3 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Artificial Intelligence and Data Science) Semester: III
Subject: 3 Semester Syllabus (Semester Semester),
What is covered in 3 Semester Syllabus (Semester Semester)?,Subject: Probability and Statistics Subject Code: B000371(022)
What is covered in 3 Semester Syllabus (Semester Semester)?,Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 3 Semester Syllabus (Semester Semester)?,No. of Class tests to: 2(Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 3 Semester Syllabus (Semester Semester)?,ESE Duration: Three Hours Maximum Marks in ESE:100 Minimum Marks in ESE:35
What is covered in 3 Semester Syllabus (Semester Semester)?,UNIT 1: PROBABILITY AND RANDOM VARIABLES
What is covered in 3 Semester Syllabus (Semester Semester)?,Axioms of Probability- Bayes’ Theorem -Random variables – Moments – Moment generating functions.
What is covered in 3 Semester Syllabus (Semester Semester)?,UNIT 2: STANDARD DISTRIBUTIONS
What is covered in 3 Semester Syllabus (Semester Semester)?,"Binomial, Poisson, Geometric, Uniform, Exponential, Gamma and Normal distributions"
What is covered in 3 Semester Syllabus (Semester Semester)?,UNIT 3: TWO-DIMENSIONAL RANDOM VARIABLES
What is covered in 3 Semester Syllabus (Semester Semester)?,Joint distribution – Marginal and conditional distribution – Co-variance – Correlation and Regression
What is covered in 3 Semester Syllabus (Semester Semester)?,UNIT 4: TESTING OF HYPOTHESIS
What is covered in 3 Semester Syllabus (Semester Semester)?,"Sampling distributions – Testing of Hypothesis – Small samples – t Test, F Test and Chi-square Test –"
What is covered in 3 Semester Syllabus (Semester Semester)?,Large samples – Single mean – Difference in means – single proportion and difference in proportions.
What is covered in 3 Semester Syllabus (Semester Semester)?,UNIT 5: DESIGN OF EXPERIMENTS
What is covered in 3 Semester Syllabus (Semester Semester)?,Analysis of variance – One Way Classification – Completely Randomized block design – Two Way
What is covered in 3 Semester Syllabus (Semester Semester)?,Classification – Randomized block design – Latin Square design.
What is covered in 3 Semester Syllabus (Semester Semester)?,TEXT BOOKS
What is covered in 3 Semester Syllabus (Semester Semester)?,"1. Milton. J. S. and Arnold. J.C., ""Introduction to Probability and Statistics"", Tata McGraw Hill, 4th"
What is covered in 3 Semester Syllabus (Semester Semester)?,"Edition, 2007."
